state,population,abbv
total,328239523,ttl
California,39512223,CA
Texas,28995881,TX
Florida,21477737,FL
New York,19453561,NY
Pennsylvania,12801989,PA
Illinois,12671821,IL
Ohio,11689100,OH
Georgia,10617423,GA
North Carolina,10488084,NC
Michigan,9986857,MI
New Jersey,8882190,NJ
Virginia,8535519,VA
Washington,7614893,WA
Arizona,7278717,AZ
Massachusetts,6949503,MA
Tennessee,6833174,TN
Indiana,6732219,IN
Missouri,6137428,MO
Maryland,6045680,MD
Wisconsin,5822434,WI
Colorado,5758736,CO
Minnesota,5639632,MN
South Carolina,5148714,SC
Alabama,4903185,AL
Louisiana,4648794,LA
Kentucky,4467673,KY
Oregon,4217737,OR
Oklahoma,3956971,OK
Connecticut,3565287,CT
Utah,3205958,UT
Iowa,3155070,IA
Nevada,3080156,NV
Arkansas,3017825,AR
Mississippi,2976149,MS
Kansas,2913314,KS
New Mexico,2096829,NM
Nebraska,1934408,NE
Idaho,1792065,ID
West Virginia,1787147,WV
Hawaii,1415872,HI
New Hampshire,1359711,NH
Maine,1344212,ME
Montana,1068778,MT
Rhode Island,1059361,RI
Delaware,973764,DE
South Dakota,884659,SD
North Dakota,762062,ND
Alaska,731545,AL
District of Columbia,705749,DC
Vermont,623989,VT
Wyoming,578759,WY